Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_00_42,GET,/favicon.ico,HTTP/1.1,200Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_00_54,GET,/favicon.ico,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_01_19,GET,/favicon.ico,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_01_19,GET,/favicon.ico,HTTP/1.1,200
HeadMozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_07_05,MethGET,Path/favicon.ico,HTTP/1.1,Status200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_07_21,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_09_41,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_09_41,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_09_41,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_10_24,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_10_24,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_12_01,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17_11_12_07,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17|11:12:41,Method GET,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018_09_17|11:14:04,Method GET,IP ::1,Path /favicon.ico,HTTP/1.1,Status 200
Head Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,2018 09 17|11:14:20,Method GET,IP ::1,Path /favicon.ico,HTTP/1.1,Status 200
2018 09 17|11:14:41,Method GET,IP ::1,Path /favicon.ico,HTTP/1.1,Status 200